Product Name,Model,Category,Image(s),Specs,Price (INR),Discount Info,Slide No,Brand,Stock Status,Keywords,Usage Description,cloudinary_url
Air C-Ring Tool Short Nose Type,DB-AN-C1(80),Stapler,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/qFL3zf1gTo3aVL7__OfoSg/xN0mTpyBv0ob0Q85GofV3467muE8G273-hrwNKtAImHii99ZGBxGL_QwZV_J_mwg7ktydfAeg1CKUo6utva8N7-AhBdi7ydTJyJl10q2qyNCczIXjXgmEnincaNX4qbQG5j9_YWFRPLUmlfTzC3fKAO-90sBwnFuUasa2wZJnYI/Tp7Mx1PKkva-0ueUPcxKyBrpk0dG3vOawNl_qifQ5bs),"Working Pressure: 80-105PSI, Loading Capacity: 100pcs, Air Inlet / Air Hose: 1/4 / 3/8, Total length: 332mm, Wire Dia: 1.8mm, Shank Height: 12mm, Crown: 23.70mm, Closure Dia: 5.50 / 6.00mm, Net Weight: 1.50Kgs / 3.30Lbs",INR 41800.00,25% off,240,Drebon,,"Air C-Ring Tool, Short Nose Type, C-Ring Stapler, Pneumatic Stapler",An air-powered tool designed for C-ring applications with a short nose.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342328/xj0pbqjzeyz8c5j1yiqp.png
Heavy Duty Wire Nailer,DB-AN-1650,Nailer,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/G3cqHwG_5HBHdplVT6Balg/dDddxKGbb1TAoxChvRiihMmzkIyiZfmPBOTwsNAat0_73NeLKn871p3VOkXRiWRGUvywWoIct56gZKeV0ylOxA7rz2vsY9IHagrxO7W40zZ1QM0pcyrElr5MEGVXSr9L6SqndjMNKQKeJ65LjStmVR7Axqoc23wUCxm1mRk7Duw/FnT6ThM7-eFIFmvAU3dbsw_whhJ8KJT63z8lheeLCz4),"Nail Gauge: 16, Nail Shank: 1.6*1.4mm, Nail Length: 20-50mm, Total length: 310mm, Total Width: 77mm, Total Height: 270mm, Air Inlet (Pt/Npt): 1/4 inch, Loading Capacity: 100 Staples, Net Weight: 2.18Kgs / 4.80Lbs",INR 13555.00,25% off,240,Drebon,,"Heavy Duty, Wire, Nailer",Used for heavy-duty fastening applications with wire nails.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342329/gkjllbwpbixxer1jqmoi.png
Air C-Ring Tool Short Nose Type,DB-AN-C1(55),Stapler,,"Working Pressure: 80-105PSI, Loading Capacity: 100pcs, Air Inlet / Air Hose: 1/4 / 3/8, Total length: 332mm, Wire Dia: 1.8mm, Shank Height: 12mm, Crown: 23.70mm, Closure Dia: 5.50 / 6.00mm, Net Weight: 1.50Kgs / 3.30Lbs",INR 40070.00,25% off,240,Drebon,,"Air C-Ring Tool, Short Nose Type, Pneumatic tool, Fastening tool",An air-powered C-ring tool with a short nose for various fastening applications.,
18G Wire Finish Nailer,DB-AN-1850,Nailer,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/FQT0YPfxToOu5a6GlE_88g/lBRP4GjRezRfrh-7x_qG6n70DW5JZ-0b4gWwpdJiCEcQMKX3G4-wJJQ8PInVgp-6ouz4hICUrZXwzoOFF_zRrwixfSb6Gs3nbaeKxnjthCGr8apBcHxnUueXp3DyDbBe7gN6UY-oVw7Q16Xmzhy5_S7CoKP4O3E_jCLZVutA_LI/aVFeF_EKE82vxiZuV7kqdyNR_N35QQ1NVCb6_E4hfyE),"Nail Gauge:18, Nail Shank:1.0*1.25mm, Nail Length:15-50mm, Total length:205mm, Total Width:55mm, Total Height:240mm, Air Inlet (Pt/Npt):1/4, Loading Capacity:100 Staples, Net Weight:1.40Kgs / 3.08Lbs",INR 8115.00,25% off,240,Drebon,,"18G, Wire, Finish, Nailer, DB-AN-1850",A versatile nailer designed for various finishing applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342329/ur150o3ixaxpdwzccz8p.png
Air Stapler,DB-AS-80/16E,Stapler,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/DcCYzEAg7FV5ZDwNRnA87A/g1WxKzlPSJ_qBSZ84DLc1d-EgD0JGZyGsSXrWb6WIXkfkrWZl6x2OzxDa4klchMA6Osc4pMxFqV5oTpQeTMHxB7kRhnBIVSRZVoH6zoTaQSekNlPfCU4eZTn0XJuvPZ_sYo0oj7a43GXNSyczwUPn3ZF6GyhC-Yjj0ytiUidr1M/hDJgnCytrLvNBUhwBJ2pkIlUs5IMX6iMq1fFAVm3rEk),"Crown: 12.80mm, Width: 0.95mm, Thickness: 0.65mm, Gauge: 21, Staple Size (Length): 6-16mm, Length*Width*Height: 230*47*147mm, Air Inlet (Pt/Npt): 1/4, Loading Capacity: 150 Staples, Net Weight: 0.96Kgs / 2.11Lbs",INR 1940.00,25% off,240,Drebon,,"NEW PRODUCT, Air Stapler",A pneumatic tool used for fastening materials with staples.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342331/oymiivqfpttqymodiiut.png
Heavy Duty Air Stapler,DB-AN-16851,Stapler,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/z54pd517b66IJ7T_C90DEw/AoMuilaYI1ZQI8PXU_pfXs3HYyT9vRfblAanOr1DmIIYG0ior-IfHZ-qnp7ABKoC3JduOjkiw2dW9ngETVm4LgUJltOeQ1DdqNoUaH3RGzIfaxoTZ-Q5icH2SD3AaUVpNixeQF25L8QS8QVCyuk-O7mgxMNmW-8tL5_lsauIt2I/Y1xkjEZD9bbK9595gupOP1pMWvUULm1Y0RueD5kfHxk),"Crown: 11.10mm, Width: 1.60mm, Thickness: 1.40mm, Gauge: 16, Staple Size (Length): 25-50mm, Air Inlet (Pt/Npt): 1/4 inch, Loading Capacity: 150 Staples, Net Weight: 2.65Kgs / 5.84Lbs",INR 22545.00,25% off,240,Drebon,,"heavy duty, air, stapler, fastening, pneumatic",A heavy-duty air stapler designed for various fastening applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342331/p3qezzxjmqfxhr5n6e3o.png
18G Wire Finish Nailer,DB-AN-18/50E,Nailer,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/rcgxz6K6YuRXOW6qf4ogNQ/sMJV5rKxlctlHvICCEQoKluzis1hMrZqMXRyrxWjUvLJqPVvfC_2QgRDqPsHuZPEFIGzKP8Y5HqGqixMTkDIZRR-cC02kMqI_Xmqt8ptEuN00rnDWrktTFv1gL6yP1UJaBHGtnDe2oowDWXgSAH3eYyKu45jqrShRy2ZGlgZJNw/yu0yF76c6U-PdHLWpP1imN2d78_VjOT71KhW_swNlXY),"Nail Gauge:18, Nail Shank:1.0*1.25mm, Nail Length:15-50mm, Total length:205mm, Total Width:55mm, Total Height:240mm, Air Inlet (Pt/Npt):1/4, Loading Capacity:100 Staples, Net Weight:1.40Kgs / 3.08Lbs",INR 2700.00,25% off,250,Drebon,,"18G, Wire Finish, Nailer, Finish Nailer",An 18 gauge nailer for finishing applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342333/a7a6lmgbowuxe7rq14ei.png
18G Wire Finish Nailer,DB-AN-1832,Nailer,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/XzInNYUbdSaiLy35SSJn-Q/nNi4JnsiDnPp9_YASmVJqlcFDpC6vp6Yl8cvvtqcKZuP1Tov-u8waVfauSvrpHn1RyOASDgh4ye63FS5ov6psJWJQqvXdUVTerfopKoAnF_cMgLQKhShdpWsM2mu5RaWj6ShLsgvq1fHlG8kY9bxOePLB9NpPMeDUsPi8yhForg/ARV3Z3pjtI5lY3wWVu4vibg5fPIOC9sPTXFgF6GWRDY),"Nail Gauge:18, Nail Shank:1.0*1.25mm, Nail Length:10-32mm, Total length:235mm, Total Width:55mm, Total Height:197mm, Air Inlet (Pt/Npt):1/4, Loading Capacity:100 Staples",INR 7040.00,25% off,250,Drebon,,"18G, Wire Finish, Nailer, DB-AN-1832, Nail Gauge 18, 10-32mm nail length, 100 Staples loading capacity",This 18G Wire Finish Nailer is designed for finishing applications using 18 gauge nails.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342334/szkjukpml8dfswi8qt8p.png
HVLP Air Spray Gun,DB-SG-04,Polisher,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/pjv2kOaRd5N2__-x2MCAKg/TuXhrK-Gf5ifZrufc4sajVP-YMpBxMTG1gwg6kxg8XNuRJLbjJ6HK8__n-5pzFlfsVrKvxpY2hDZ5L7O71yqhWGFietgQwmdKETTgIRjci0edIvAkMxWP4PPoYDqAjntJ--qD01Fu6aWSv0dZ3NPAYevgFGWrO68hfIaIhG7BLY/RN4Y7HwndizT1GgSXozc8nb2A6JRL_Cf1ATPPzEE3fg),"Standard Nozzle: 1.4mm, Optional Nozzle: 1.0-1.5-1.8-2.0mm, Capacity Of Cup (CC): 600, Air Inlet: 1/4 inch, Fluid Inlet: M16*1.5, Working Pressure: 50-70PSI, Avg. Air Consumption: 7Cfm / 200L/min, Net Weight Of Gun: 0.62Kgs / 1.37Lbs",INR 7750.00,25% off,250,Drebon,,"HVLP Air Spray Gun, Spray Gun, Paint Sprayer",Used for applying paint and other coatings with high volume and low pressure.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342334/rn83hhp3oa1xdkfsi5nq.png
18G Wire Finish Nailer,DB-AN-18/32E,Nailer,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/mwpP8dVudk638UrDPkWxcg/UdJ05EOnkH7ynNqvx2k2hs2BLHDFDx58KjhBPVtLpEO7eqIqfx2xq7VrUrp45x5xLkUlsjVOxU3ha_Xg62w8OmeHB0lXkriWmjF7WA4A4HBlpMdYPciAlpMKa1jBjSNhrJQFpBa75faluvK7kWhgrJBGWK6WI1-5p72dtfNtPOE/HRUU4CwQzEUdrsC6wVU4JNuIuZIZs8gFJ4NUWc5tea0),"Nail Gauge: 18, Nail Shank: 1.0*1.25mm, Nail Length: 10-32mm, Total length: 235mm, Total Width: 55mm, Total Height: 197mm, Air Inlet (Pt/Npt): 1/4 inch, Loading Capacity: 100 Staples",INR 2120.00,25% off,250,Drebon,,"18G Wire Finish Nailer, DB-AN-18/32E, Nailer",This 18G Wire Finish Nailer is used for finishing applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342335/ql5fa7ho9zf0udkw8atf.png
Air Grease Gun Kit,DB-B-36-6,Gun Kit,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/e7dAtGm2woN_OIP1gC9O_Q/PHOXvcKi2ppYZYPAqvFxbTCgVU-9kXwdDI1yuxZLatp_0Htb4AuOLz_GJtumFanMIKToNKCaEYpTpPtS613fVZXKwra50Bd_xOsXkkS4wq6X_U4b-jZpzO8lU7PW1Ru4sHZwL1FAW7-Zec8F2pemtTWATz7MEsh-hK-7hvIJ9xU/Ea2uMzc_cmiMwDgPy93-WlpZHWsJz7uKZMSPbp6vaz0),"Capacity: 400cc (14Oz), Air Inlet: 1/4 inch, Air Hose: 1/4 inch, Net Weight Of Gun: 2.20Kgs / 4.85Lbs, Includes: 1pcs Handle For Manual Type, 1pcs Rubber Pipe, 1pcs Aluminium Pipe, 1pcs Quick Coupler, 1pcs Connector",INR 4940.00,25% off,250,Drebon,,"Air Grease Gun, Lubrication Tool, Pneumatic Grease Gun Kit",An air-powered kit used for dispensing grease.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342336/kedszo9xafen0k65kpjj.png
Heavy Duty Coil Nailer,DB-AN-C55,Nailer,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/fYVPJobYficUQP9wCTCyDA/gz_h5ky7x3FX8VnZIc_07HlWVOFzYyBanT68D_Sy7gb6UnyxZJwnmXJ3W5PVV0oJtV8gRvDXZg3XIobNiUs8rJvGmA6gFsaQUSbp0SRNHb2cZnE9iK4F9huujzUnoxuZZn9WPimn0yygPUHzmw7Su3GYlAob_qVPlp9W1s-kwzE/3rPVoHv5gvIyg06QurOBrcZezm3ZRUzaBjYeGZSq_-4),"Working Pressure: 60-100PSI, Loading Capacity: 300 Nails, Air Inlet / Air Hose: 1/4 / 3/8, Total length: 290mm, Total Width: 130mm, Total Height: 270mm, Nail Shank: 2.1-2.3mm, Nail Length: 25-55mm",INR 15700.00,25% off,250,Drebon,,NEW PRODUCT,Used for heavy-duty nailing applications with coil nails.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342337/yjpblihygkmtgrabuwen.png
Air Grease Gun,DB-B-36,Setter,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/iwUHzQ8oYTeEBT7jeE1bFA/hyW2Fbxepc5bD-S_HpU_4jqBSJmOC_n7QMmLdNPR9w7rfUzOqz4-b9SUqHhwwwvB1BzQLL3vhDqwGjV98jzqbExmlN0tAZIRE16aO1hMIoVsy8c6EvtJ6ewxNzW537YYx3cpyXUunr3e0NJ_PEkppyyddrIwZAzW-xekQnFBLs4/F0L_B1_keFiWAwJRBnHiiu82kRowL3ka-nO7FJH3UK8),"Capacity:400cc(14Oz), Air Inlet:1/4, Air Hose:1/4, Net Weight Of Gun:2.20Kgs / 4.85Lbs",INR 2465.00,25% off,250,Drebon,,"Air Grease Gun, Grease Gun, Lubrication Tool, Pneumatic Grease Gun",Used for applying grease under pressure for lubrication.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342338/s0pwyvpibhjd1joj5uj5.png
Heavy Duty Coil Nailer,DB-AN-C70,Nailer,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/GMueJoesc_QdxoyVFBMScw/fcBW8ZrEi98Wm-G5KcZvupVT2Eorz4aXS0GMxPUoZDlyd6Zd9OWqYsTsMt_f4qFNPVaE3H2Rnb8k_0Z7tAz4WrhkGolsI540NP0upciiWA0MsxsE1DyjkYEK-jMKs2UFt7nx9cW_Rx_yYnd-tKaQfX18w4g_WeRiRZWeAYLYRi8/BSCpc6jVgLRaNj-g2P4lL4KAVKxMSTiZMas0SMCt9O0),"Working Pressure: 60-100PSI, Loading Capacity: 300 Nails, Air Inlet / Air Hose: 1/4 inch / 3/8 inch, Total length: 315mm, Total Width: 130mm, Total Height: 325mm, Nail Shank: 2.3-2.9mm, Nail Length: 45-70mm, Net Weight: 3.60Kgs / 7.94Lbs",INR 17580.00,25% off,250,Drebon,,"Heavy Duty, Coil, Nailer, Pneumatic",Used for heavy-duty nailing applications with coil nails.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342339/gzlqlpohljqwg6wumwvf.png
Air Sanding Blaster Gun,DB-SB-6002,Sander,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/RMI7JnaQ3h9SXOqwLZSXeA/cgqauTD8ogtd7F905YK0ZRb__hvLIKIkq__9nYxR2GKlWYdOmUY5gXLL08CFJ2cq-IyZlG-LYN6_Mc5wmhGC0ahifVlL0xHUEkE3bwZBHrvWfhBZxqbNatWOM98hDQd5Sn2uvwiGqVL5neIEbmyNQFX-9rJKKfl6yXy2tWp_e68/1gLCo4gYO-izbCXKEhWq4KDDNVGXKcKp6L5udjcmQt4),"Total length: 315 mm, Total width: 130 mm, Total height: 325 mm, Net weight: 3.60 kg, Nail shank: 2.3-2.9 mm, Nail length: 45-70 mm",INR 2675.00,25% off,250,Drebon,,"air sander, blaster gun, sanding tool, pneumatic sander",Used for abrasive blasting and surface preparation.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342339/qkudyt4grjxxons57tya.png
Mini Oiler,Mini Oiler,Oiler,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/XmOV001X2oY3EwiWAEJpuA/HqyL-PmxBUHmKs-qMgPWNItfQO4A8PhWDir0OgwJIG8R8rN-yFmxZoDjwvjnOfklUbmIx9pn7YzUaLAw5fDp_kyu_2KsgZgqvpcL6hT2GhukBuHDXWyMyD8maNVAIHWPfCN2Hp2wel9CqBYTVR-n8LvXa3L5lZEzV1OHInlyrKk/DjYDOEySdhffyUC5JFFIf3TJ9rNydmVNXW272wPVHus),"Material: brass & polycarbonate bowl, Thread: 1/4 BSP, Max Working Pressure: 150 psi",INR 350.00,25% off,250,Drebon,,"Mini Oiler, Oiler, Lubrication",Used for lubricating pneumatic tools.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342341/opndouqaklps1vjpwuni.png
Air Wonder Gun,DB-WG-55,Setter,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/1hqdc5moe_oOXwFX2CkuMg/7m3mSZuzcSETFOJurIPvENO47zdwlZ5mSeA1nUbEDtnj7lJgbjYjxLAbV86RV0RuAxWUcaNB8p40ptzlLeJC0O_UkIqR450yorPAbosFLfxBqPKW2XYX_Rs3NzXBx_1qdhAMyJh_VWceVUiTxQMf-WQ8OKfgWPKiN1DP-T47WKA/SvWFJLuiCxL4KJ2BNWhXmiggWA7-qZZXuXxZGChs4WU),"Net weight: 3.60 kg / 7.94 lbs, Nail length: 45-70 mm, Air inlet: 1/4",INR 2200.00,25% off,250,Drebon,,"Air Wonder Gun, Pneumatic, Cleaning Tool, Blow Gun",A versatile pneumatic tool designed for various tasks such as blowing dust and debris.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342342/oqp75acdugxhh0myavua.png
Air Caluking Gun,DB-CG-40,Setter,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/cWz5GZIkOnPB-G20p5X52g/uFdRIXIFmW4HNwTUgAWupTZKFcm3KTMByssWBZP60N5H_1BwIMmX_6kfM27eCJxBqrIXtGHUcuI2n6qleFJAs5LQ7CBemujKUuyTNzOpIENJMt4EuPWYyjghBrP-9nQIXU_qKQIcfEzyx5-0ZXM3KQRPs0OREXXVV6J_1k1Xycs/tecgD-sbNFH7V_pR3tZVXeg1IQ4pGjaA7Doxs4eYCEg),"Model: DB-CG-40, Type: Pneumatic Air Caulking Gun, Air Inlet: 1/4"" BSP, Air Hose Size: 3/8"", Working Pressure: 50-70 PSI, Average Air Consumption: 12.7 CFM, Net Weight: 0.80 kg, Overall Length: 335 mm, Total Width: 130 mm, Total Height: 325 mm, Nail Shank Compatibility: 2.3-2.9 mm, Nail Length Compatibility: 45-70 mm",INR 2340.00,25% off,260,Drebon,,"Air Caluking Gun, Caulking Gun, Sealant Dispenser, Pneumatic Gun",Used for dispensing caulk or sealant using air pressure.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342343/rrzv53zu7vmcqagegg84.png
Air Needle Scaler,DB-NS-505,Grinder,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/1K6xmlIzeRJD1wyw_MKHRw/ytKN-lOrKl5N6E30947K6UciqxxSOW3Tyy2G_HnMq_iqIBQaDRDqaXhRWb-jRIxRFhxJabDbkVPnb0M-7LbCW68LQz-yajRVNz5zs9QKuD4AvOxg3fqweRlZDUO_7wNdAD0HJpPwir9LRgPjRdEzPZia-7xM3bSYhtQVLmba3zg/ItiZ8isDGAEi4G-hoO9u6aoA51Jq2SOLS083O6Eigys),"Needle Size: 3*180*19mm, Piston Stroke: 33mm, Blow Per Min: 3,700, Air Inlet: 1/4, Air Hose: 3/8, Overall length: 13 / 330mm, Avg. Air Consumption: 10Cfm / 283L/min, Net Weight Of Gun: 2.70Kgs / 5.95Lbs",INR 17970.00,25% off,260,Drebon,,"Air Needle Scaler, Grinder, Rust removal, Paint removal, Surface preparation","Used for removing rust, paint, and other materials from various surfaces.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342343/vnolxx5t7nopdhs0931e.png
Air Flux Chipper,DB-FC-501,Cheisle,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/LLcIISu9ulDTGjtNqYewbQ/mkUttYxpd7_tvnqYP6fkM2vEl8IItpJ76Zh3AfOVyPyvsee_3DhbJIahtoPZ9S6W8-_chMh9ZfPvKzPvegqZPIB42IEyOXg_63kSy2fseHE6AbBt0jvJYKEzmPpD2_L8kDaA2F8hi4pqXm8Kb91OEJl5JN32c5H4qVvSq2lb558/RBZVk0DFG5yln8Z85_vCMjR9hMdTLLDOg2QAdvAAWoM),"Piston Stroke: 33mm, Blow Per Min: 2,700, Air Inlet: 1/4, Air Hose: 3/8, Overall length: 13-1/5 / 335mm, Avg. Air Consumption: 10Cfm / 283L/min, Net Weight Of Gun: 2.20Kgs / 4.85Lbs",INR 15490.00,25% off,260,Drebon,,"Air Flux Chipper, Chipper, Pneumatic Chipper, Cheisle, Air Tool",This tool is used for chipping and material removal tasks using compressed air.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342344/ojfm5kh6vikkuq3stiws.png
High Torque Precision Brushless Electric Screw Driver,DB-SD-210PS,Screwdriver,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/emtpFrId2eY6mT2a6FiP2A/grfNQMn7cJBYZ6KAFBrQ8PB298SXjXApdBfeDVWJtsid4-pOxeS_SCuu3-EpwnP1ZXkoeIbKTahAB9aqT5VtAPy6-KEV_gviWvd0lVR-kTytnksTWsZUoRj8aHrH8cngCCmGJwJdfcxP9EyhBYikINsZu9KOHwQQO23W1vFrl4Q/Vr4fPH-8wLxZlmj_nlskviQ8abtXOSibBsjjt-B6ZqA),"Motor Type: DC Motor, Output Range NM: 0.20-1.00Nm, Output Range Kgf.cm: 2.04 - 10.20Kgf.cm, Unloaded Rotation (RPM): 800-1200, Screw Size Tapping: 2.6 - 4.0mm, Screw Size Machining: 2.6 - 4.5mm, Bit Size: 1/4",INR 10100.00,25% off,270,Drebon,,"High Torque, Precision, Brushless, Electric, Screw Driver",This electric screwdriver is designed for high torque precision fastening applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342345/xwr4lelbpw8ifccfcvvt.png
High Torque Precision Brushless Electric Screw Driver,DB-SD-520PS,Screwdriver,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/5n8gSKxIyVJlhT53yExOLw/sag-8OO3a55G2fzs1i82AFoeirfuMlqdUZX3Qw4RMbsWVOLVlqeKqnEZ9qrNPtUnmp4yGROu2OIDTU6tZg5_I0-Mnd05bNDb8JAYtsfQZ7h4JwOUUM6blmfyC6XO8zEuPsL47y43E30GhfVYFSx-ROO_ICc5pD6ysPGtWwmsBWE/ni1ITYkXzhgHg6t-v7LG_Uo2t3igD5UqM1O13ggVBLI),"Motor Type: DC Motor, Output Range NM: 0.50 - 2.0Nm, Output Range Kgf.cm: 5 - 20Kgf.cm, Unloaded Rotation (RPM): 800-1200, Screw Size Tapping: 2.6 - 4.0mm, Screw Size Machining: 2.6 - 4.5mm, Bit Size: 1/4",INR 10100.00,25% off,270,Drebon,,"High Torque, Precision, Brushless, Electric, Screw Driver, Screwdriver",A high torque precision brushless electric screwdriver for various screwing applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342346/tpogr4mz8q73gpllpecg.png
Economic Brushless Electric Screw Driver,DB-SD-15BL,Srewdriver,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/vfKUxIzLvZwQtzCyn_oySA/BE0zF72T6A5seZnrOk7Fp6dpGKEr3WEL_jRWmozqOjZP9cSU7whlWZyxReeO6RkRAXOPl-HoZZRUEUq4o6ECBb-9j2he9Weud-70JNL1rUNP9hpXuQCHer4JR5DTud_bt8mug9R-SnFsa-5SMYnpSgF2XCBGzGEgEojjA12jeZo/00vxjJke-ZxzFod4KRSmJ6gpwo_Ih0oCh5nPCQM_dP4),"Motor Type:DC Motor, Output Range NM:0.20 - 1.5Nm, Output Range Kgf.cm:2 - 15Kgf.cm, Unloaded Rotation (RPM):1000-1400, Screw Size Tapping:1.6 - 2.5mm, Screw Size Machining:1.6 - 3.0mm, Bit Size:1/4",INR 8665.00,25% off,270,Drebon,,"Economic, Brushless, Electric, Screw Driver",An economic brushless electric screwdriver for various screwing applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342346/ferskzz59z3zepunnr8x.png
High Torque Precision Brushless Electric Screw Driver,DB-SD-520BL,Screwdriver,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/oEFvn9vbC5XNFgHu-xi3ag/TLSskvoqcZ7oZOd_LMvES8EzoLI3xV_wUIsOlf1zA5HXD_ghXqrUsG24QxIJpU_raMlbgz_tE4WxNFRiVQ6ochdJOO4p0OGdEFELZDS13etcz2W-4ZR5AdBcZI8_lzjOah6lDgOPmgMC4666BsDhok5QCYI_YRaU9Ip4fQg2aW8/t4dkElIXXYXJEKxu0A8AuHRlot9WbGcRHd7KL6P2u7k),"Motor Type: DC Motor, Output Range NM: 0.50 - 2.0Nm, Output Range Kgf.cm: 5 - 20Kgf.cm, Unloaded Rotation (RPM): 900-1200, Screw Size Tapping: 2.6 - 4.0mm, Screw Size Machining: 2.6 - 4.5mm, Bit Size: 1/4",INR 16485.00,25% off,270,Drebon,,"High Torque, Precision, Brushless, Electric, Screwdriver",This high torque precision brushless electric screwdriver is ideal for various screwing applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342347/l40ksrpazvqsccdin5ts.png
Economic Brushless Electric Screw Driver,DB-SD-35BL,Screwdriver,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/XDqCdPAt0x1q6rpcKOSLLw/qGrXvzBgOKK7gqK8X9TBlMmoefv4lV36EkYxv7N9qdFUzOzcv9lwLDu188_9DfiOkvvm2BoveTEzGcENt_AdYVTJKSzUGPXpxArMqcuZCZ7L0KAFkm_pWlyGCKYemWBGinl6UQZfdfFFBjJIKEVbudDF5KpHhQ0RYDUXZGteKXY/60SOtWUe7DGo518R--P9ZpiLrmz0xkkcMY0uhvMVSDo),"Motor Type: DC Motor, Output Range NM: 0.50 - 3.5Nm, Output Range Kgf.cm: 5 - 35Kgf.cm, Unloaded Rotation (RPM): 700-1100, Screw Size Tapping: 2.0 - 5.5mm, Screw Size Machining: 2.0 - 6.0mm",INR 8665.00,25% off,270,Drebon,,"Electric, Brushless, Screwdriver, Economic",An economic brushless electric screwdriver designed for various screw driving applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342348/xvibnppppx5xwokvdopm.png
Economic Brushless Electric Screw Driver,DB-SD-25BL,Srewdriver,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/Byn41VvDASmQ1-WcSdVfJg/7G-R4xyDvl9wXfvwjw2IFlIKGnE6kU1qhgyS-bnrd5BF6CDuKTVlArISwl6qvjsbPmLaGqd-JlSXd_3ywd-dxmlLF07oxVUFH8lFquZUZHMfE-Dlrv9ehZ-Xt6IwSCOEnYccQr1c2IIoOJ7L1q1FQhN331rw1Nq_dCXF-y_NNg0/nx6I5Qz8LjKy_2noIiMHeVlTQqghBqrsheXbWCbutkI),"Motor Type: DC Motor, Output Range NM: 0.30 - 2.5Nm, Output Range Kgf.cm: 3 - 25Kgf.cm, Unloaded Rotation (RPM): 1000-1400, Screw Size Tapping: 1.6 - 4.0mm, Screw Size Machining: 1.6 - 4.5mm, Bit Size: 1/4",INR 8665.00,25% off,270,Drebon,,"Brushless, Electric, Screw Driver, Economic",An economic brushless electric screw driver for various screwing applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342349/v8peyqez5zqgif6cysic.png
